,Unnamed: 0,radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
160259,540046,LTE,440,51,47690,264798721,0,133.89518737793,34.636459350586,1000,23,1,1458920771,1492089717,0
160260,540047,LTE,440,51,47690,264773635,0,133.907172,34.64008,1000,11,1,1458920771,1487666935,0
160261,540048,LTE,440,51,47690,264773634,0,133.90205383301,34.639205932617,1000,59,1,1458920771,1492089717,0
160263,540050,LTE,440,51,47690,264773890,0,133.9185333252,34.647445678711,1000,8,1,1458920771,1487578255,0
160264,540051,LTE,440,51,47690,264773893,0,133.91777,34.648666,1000,9,1,1458920771,1487578255,0
160266,540053,LTE,440,51,47690,104122369,0,133.902315,34.640578999999995,1000,79,1,1458920771,1492089717,0
160268,540055,LTE,440,51,47690,102575875,0,133.90342712402,34.637832641602,1000,50,1,1458920771,1492089270,0
160271,540058,LTE,440,51,47690,264777218,0,133.9254,34.642021,1000,20,1,1458920771,1491370650,0
160272,540059,LTE,440,51,47690,103544578,0,133.924507,34.640578999999995,1000,20,1,1458920771,1489556594,0
160273,540060,LTE,440,51,47690,264779777,0,133.894821,34.639114,1000,15,1,1458920771,1492219023,0
160276,540063,LTE,440,51,47690,264767235,0,133.922947,34.636459,1000,14,1,1458920771,1491370650,0
160454,540241,LTE,440,51,47681,101638915,0,133.90754699707,34.650192260742,1000,42,1,1458920767,1490683681,0
160545,540332,LTE,440,51,47689,101291522,0,133.894272,34.646072,1000,3,1,1458920770,1482626158,0
160555,540342,LTE,440,51,47690,101184003,0,133.91843,34.635086,1000,53,1,1458920771,1491370661,0
160560,540347,LTE,440,51,47690,101184001,0,133.92265319824,34.636459350586,1000,34,1,1458920771,1491370661,0
160565,540352,LTE,440,51,47690,101191683,0,133.92425500000002,34.651565999999995,1000,60,1,1458920771,1492089254,0
160567,540354,LTE,440,51,47690,101501953,0,133.90823400000002,34.647205,1000,40,1,1458920771,1492420456,0
160568,540355,LTE,440,51,47690,101191169,0,133.885325,34.638457,1000,11,1,1458920771,1492219023,0
160570,540357,LTE,440,51,47690,101638146,0,133.921623,34.641609,1000,4,1,1458920771,1467008174,0
160572,540359,LTE,440,51,47690,101501955,0,133.90205383301,34.648818969727,1000,52,1,1458920771,1492219023,0
160573,540360,LTE,440,51,47690,101184002,0,133.9185333252,34.632339477539,1000,38,1,1458920771,1491370661,0
160575,540362,LTE,440,51,47690,264773636,0,133.90205383301,34.636459350586,1000,25,1,1458920771,1492420456,0
160576,540363,LTE,440,51,47690,264773632,0,133.907547,34.639990999999995,1000,21,1,1458920771,1491719364,0
160579,540366,LTE,440,51,47690,105221377,0,133.924097,34.647446,1000,39,1,1458920771,1491804486,0
160581,540368,LTE,440,51,47690,264770050,0,133.914757,34.646244,1000,8,1,1458920771,1488431824,0
160587,540374,LTE,440,51,47690,102471683,0,133.92402648926,34.651565551758,1000,39,1,1458920771,1489038227,0
160588,540375,LTE,440,51,47690,264767233,0,133.919841,34.634367,1000,21,1,1458920771,1483512385,0
160692,540479,LTE,440,51,47681,264775169,0,133.914413,34.652069,1000,30,1,1458920768,1492219023,0
160752,540539,LTE,440,51,47689,101291523,0,133.89106750488,34.643325805664,1000,17,1,1458920770,1492219023,0
160753,540540,LTE,440,51,47689,102571521,0,133.891182,34.648705,1000,12,1,1458920770,1490683651,0
160756,540543,LTE,440,51,47689,101638403,0,133.893689,34.651565999999995,1000,11,1,1458920770,1487666894,0
160770,540557,LTE,440,51,47689,264784386,0,133.899994,34.646072,1000,2,1,1458920771,1463550303,0
160771,540558,LTE,440,51,47689,105385472,0,133.880525,34.647163,1000,34,1,1458920771,1492168195,0
160772,540559,LTE,440,51,47690,101295873,0,133.903427,34.640675,1000,43,1,1458920771,1492420456,0
160773,540560,LTE,440,51,47690,101639170,0,133.89793395996,34.636459350586,1000,47,1,1458920771,1492420435,0
160774,540561,LTE,440,51,47690,101636354,0,133.9254,34.641495,1000,27,1,1458920771,1491370650,0
160782,540569,LTE,440,51,47690,264773892,0,133.919907,34.645573,1000,11,1,1458920771,1471510368,0
160783,540570,LTE,440,51,47690,264838913,0,133.91304016113,34.641952514648,1000,24,1,1458920771,1485495166,0
160786,540573,LTE,440,51,47690,102575874,0,133.908291,34.637833,1000,24,1,1458920771,1492168220,0
160787,540574,LTE,440,51,47690,264773889,0,133.91966399999998,34.644538,1000,17,1,1458920771,1473320401,0
160790,540577,LTE,440,51,47690,264775682,0,133.907547,34.649918,1000,10,1,1458920771,1488431824,0
160961,540748,LTE,440,51,47681,101638914,0,133.911667,34.650719,1000,60,1,1458920767,1492420456,0
160965,540752,LTE,440,51,47681,102918915,0,133.907048,34.650692,1000,11,1,1458920767,1487334009,0
160975,540762,LTE,440,51,47681,102916867,0,133.91578700000002,34.651616,1000,27,1,1458920767,1488266090,0
161043,540830,LTE,440,51,47689,101291521,0,133.890291,34.648819,1000,23,1,1458920770,1492168195,0
161052,540839,LTE,440,51,47690,101636353,0,133.9254,34.647696999999994,1000,93,1,1458920771,1492420451,0
161057,540844,LTE,440,51,47690,101638147,0,133.91523700000002,34.643188,1000,10,1,1458920771,1469048523,0
161058,540845,LTE,440,51,47689,102571523,0,133.884229,34.646325,1000,49,1,1458920770,1492219023,0
161060,540847,LTE,440,51,47689,264784385,0,133.889465,34.646912,1000,18,1,1458920771,1490683651,0
161063,540850,LTE,440,51,47690,102464001,0,133.925235,34.637833,1000,25,1,1458920771,1492168195,0
161066,540853,LTE,440,51,47690,102471169,0,133.885574,34.640454,1000,11,1,1458920771,1482626153,0
161069,540856,LTE,440,51,47689,264789762,0,133.90205383301,34.647445678711,1000,6,1,1458920771,1487578255,0
161071,540858,LTE,440,51,47690,264770306,0,133.910019,34.637833,1000,5,1,1458920771,1485495177,0
161072,540859,LTE,440,51,47690,264767232,0,133.924079,34.636829,1000,26,1,1458920771,1492168195,0
161073,540860,LTE,440,51,47690,102781953,0,133.907332,34.647102000000004,1000,32,1,1458920771,1492168220,0
161074,540861,LTE,440,51,47690,264770049,0,133.915615,34.646072,1000,8,1,1458920771,1485326517,0
